Carries,Yards,Rush TDs,Tgts,Rec,Rec yards,Rec TDs,Fumbles,Past att,Past yds,Past rush TDs,Past tgts,Past rec,Past rec yards,Past rec TDs,Past fumbles,Opp att,Opp yds,Opp rush TDs,Opp tgts,Opp recs,Opp rec yards,Opp rec TDs,Opp fumbles,W12 Actual
0.090909,0.909091,0,8.818182,5.363636,76.63636,0.454545,0,0.56,4.22,0.026,20.635,12.291,151.245,0.752,0.24,0.45,1.55,0,18.36,11.27,163.18,1.73,0,10.8
0,0,0,5.888889,3.444444,51.22222,0.555556,0,0.572,3.701,0.035,20.617,12.717,158.914,0.948,0.165,0.25,1.42,0,18.67,11.5,140.42,0.58,0.17,10.7
0,0,0,1.166667,0.916667,10,0.083333,0,0.071,0.035,0,7.544,5.182,54.823,0.438,0.035,0.18,0,0,6.91,4.91,54.18,0.45,0,10.4
0,0,0,1.181818,0.909091,16.90909,0.090909,0,0.749,4.449,0.018,20.364,12.657,166.329,1.017,0.187,0.73,6.91,0.18,19.55,11.55,166,1.27,0,10.3
0,0,0,3,2.545455,25.63636,0.454545,0,0.062,0.326,0,5.917,4.04,43.504,0.339,0.017,0.09,-0.45,0,7.45,4.64,53.09,0.73,0,10.3
0,0,0,7.083333,3.916667,79.16667,0.75,0.083333,0.463,2.67,0.027,18.361,11.762,159.761,0.961,0.071,0.82,5.18,0.09,16.45,11.82,145.55,1.18,0.18,10.1
0.25,0.625,0,4,2.5,14.625,0.125,0,0.54,4.11,0.052,19.579,12.031,147.449,0.724,0.201,0.82,5.09,0,20,11.82,147.18,0.91,0.09,9.7
18.90909,79.90909,0.363636,3.454545,2.818182,20,0.181818,0.636364,21.315,86.63,0.518,6.549,5.005,37.39,0.194,0.186,19.55,73.09,0.64,8,5.73,43,0.09,0.09,9.7
1.2,7.1,0.1,8,5.1,66.3,0,0,0.775,5.164,0.027,20.485,12.617,164.326,0.948,0.159,0.55,3.27,0,23.55,14.09,178,0.55,0.36,9.6
15.81818,76,0.363636,1,0.545455,2,0,0.363636,20.905,95.721,0.727,6.631,5.134,40.646,0.266,0.132,19.18,77.64,0.27,7.09,5.82,36.55,0.18,0.18,9.5
0.272727,0.909091,0,8.818182,4.909091,70.54545,0.181818,0.090909,0.56,4.22,0.026,20.635,12.291,151.245,0.752,0.24,0.45,1.55,0,18.36,11.27,163.18,1.73,0,9.5
0,0,0,6.181818,4.090909,48.18182,0.181818,0,0.027,0.118,0,7.102,4.853,55.506,0.487,0.018,0.08,0,0,6.33,4.67,48.5,0.25,0.08,9.4
0,0,0,9.545455,5.636364,94.81818,0.636364,0,0.696,4.884,0.027,21.525,13.525,171.953,0.935,0.151,0.42,1.08,0,18.33,13.08,181.67,1.17,0.08,9
0,0,0,5.727273,3,51.63636,0.181818,0,0.726,4.669,0.027,19.44,12.157,160.782,0.972,0.053,0.82,3.64,0,20.64,13.18,172.09,0.82,0.09,8.9
1,12.8,0,8.6,6,56.4,0.2,0,0.572,3.701,0.035,20.617,12.717,158.914,0.948,0.165,0.25,1.42,0,18.67,11.5,140.42,0.58,0.17,8.7
15.81818,54.54545,0.545455,1.363636,0.818182,6.727273,0,0.090909,22.294,89.709,0.65,6.92,5.279,42.624,0.134,0.143,20.75,84.75,0.75,7.83,6,48.25,0.08,0.08,8.5
0,0,0,4.727273,2.818182,34.09091,0.272727,0,0.018,-0.009,0,7.047,4.717,50.725,0.395,0,0,0,0,7.36,4.82,49.91,0.27,0,8.4
0,0,0,1.857143,1.285714,16.42857,0.285714,0,0.543,3.06,0.018,20.95,13.179,170.955,1.043,0.124,0.55,4.64,0.09,24.36,15.82,186.27,0.73,0.09,8.3
0,0,0,4.6,3.1,28.9,0.4,0.2,0.079,0.287,0,6.869,4.73,50.042,0.321,0.026,0,0,0,9,6.36,67.09,0.45,0.09,8.2
3.090909,11.63636,0.090909,3.909091,2.909091,22.90909,0,0,22.822,100.135,0.622,7.164,5.564,46.393,0.277,0.125,19.64,87.55,0.36,8.27,7.36,61.18,0.36,0,8.1
0,0,0,4,2,14,0.5,0,0.578,3.665,0.035,20.098,12.473,163.219,1.123,0.186,0.67,4.08,0,17.67,10.75,136.92,0.67,0,8
0.272727,1.454545,0,9.363636,5.727273,63.54545,0.181818,0.181818,0.559,3.729,0.026,20.843,12.774,163.281,0.807,0.249,0.36,3.18,0,19,11.36,156.36,1.09,0.27,8
0.166667,0,0,7,4.916667,61.75,0.75,0,0.463,2.67,0.027,18.361,11.762,159.761,0.961,0.071,0.82,5.18,0.09,16.45,11.82,145.55,1.18,0.18,7.9
17.66667,78.66667,0.333333,0.333333,0,0,0,0.333333,22.281,94.449,0.695,7.291,5.564,46.168,0.223,0.088,27.45,113.55,0.64,7.09,5.55,45.64,0.18,0.27,7.8
0.083333,0.333333,0,7.75,5.083333,73.5,0.416667,0,0.6,3.911,0.036,19.537,11.954,157.882,1.136,0.099,0.55,6.91,0,16.64,10.27,129.36,0.73,0,7.8
0,0,0,1.636364,1,16.81818,0.181818,0,0.645,3.72,0.009,18.871,11.445,154.327,0.928,0.09,0.27,-0.36,0,20.91,13.45,162.45,1,0.36,7.4
0.181818,0.454545,0,7.090909,5.363636,64.27273,0.272727,0,0.071,0.334,0,7.468,5.165,54.77,0.328,0.036,0,0,0,5.73,3.82,41.09,0.18,0,7.1
0,0,0,3.3,2.6,21.2,0.1,0,0.044,0.319,0,6.673,4.675,51.041,0.391,0.035,0,0,0,5.64,3.91,42.45,0.18,0,7
0.181818,1.818182,0,8.272727,5.090909,75.81818,0.727273,0,0.726,4.669,0.027,19.44,12.157,160.782,0.972,0.053,0.82,3.64,0,20.64,13.18,172.09,0.82,0.09,6.7
0.181818,1,0,6.363636,3.454545,57.27273,0.454545,0.181818,0.749,4.449,0.018,20.364,12.657,166.329,1.017,0.187,0.73,6.91,0.18,19.55,11.55,166,1.27,0,6.5
12.16667,46,0.166667,1,0.833333,7,0,0,22.919,96.773,0.583,6.771,5.256,42.937,0.189,0.18,24.55,94.64,0.64,6.82,5.45,36.73,0.09,0.18,6.5
0,0,0,6.636364,4.545455,58.45455,0.545455,0.181818,0.054,0.383,0,7.138,4.992,55.473,0.444,0.027,0.18,0.82,0,6.64,4.27,50.09,0.27,0,6.5
0.363636,2.545455,0,4.636364,2.545455,35.09091,0,0.090909,0.559,3.729,0.026,20.843,12.774,163.281,0.807,0.249,0.36,3.18,0,19,11.36,156.36,1.09,0.27,6.3
5.222222,13.44444,0.111111,4.888889,4.111111,23.55556,0.111111,0.111111,21.4,92.764,0.573,6.146,4.783,37.764,0.198,0.18,25.27,119.64,0.82,5.91,4.91,45.36,0.27,0.27,6.2
0,0,0,4.818182,3.272727,36,0.181818,0,0.585,3.353,0.018,18.162,11.488,154.062,0.868,0.086,0.64,3,0,21.55,13.27,167.18,1.36,0.18,6.1
3.454545,10.63636,0,2.909091,2.090909,15.72727,0,0.181818,20.575,88.381,0.631,6.386,4.807,38.869,0.179,0.134,23.09,87.64,0.36,7.27,4.91,37.91,0,0.27,6
13.4,54.3,0.1,1.3,1.1,9.8,0,0.1,21.521,87.721,0.571,6.832,5.141,39.772,0.114,0.132,23.08,98.08,0.83,7.08,5.25,56.33,0.67,0.42,5.9
0.909091,7.818182,0.090909,7.090909,3.545455,43.27273,0.363636,0,0.641,3.428,0.027,20.589,12.918,171.521,1.082,0.143,1.25,10.5,0,21.67,12.58,173,1.08,0.08,5.9
0.181818,0.727273,0,5.090909,3.181818,37.18182,0.272727,0.272727,0.673,4.392,0.036,19.473,11.845,150.372,0.802,0.162,1.55,6.73,0,15.45,10.09,160.82,0.82,0.09,5.9
0,0,0,3.818182,2.727273,27.63636,0.272727,0.090909,0.018,-0.009,0,7.047,4.717,50.725,0.395,0,0,0,0,7.36,4.82,49.91,0.27,0,5.8
0.25,1.5,0,3.833333,2,29,0.166667,0,0.543,3.06,0.018,20.95,13.179,170.955,1.043,0.124,0.55,4.64,0.09,24.36,15.82,186.27,0.73,0.09,5.8
7,19.75,0.125,1.75,1.25,8.625,0.125,0,20.575,84.098,0.597,7.112,5.57,41.416,0.25,0.124,18.91,62.27,0.36,7,5.27,31,0.09,0.27,5.7
0,0,0,3.090909,2.181818,26.27273,0.181818,0,0.035,0.027,0,6.417,4.347,47.638,0.365,0.017,0,0,0,7.45,5.18,49.55,0.36,0.09,5.6
0.222222,3.222222,0,1,0.333333,7.111111,0,0,0.6,3.911,0.036,19.537,11.954,157.882,1.136,0.099,0.55,6.91,0,16.64,10.27,129.36,0.73,0,5.6
0.111111,1.444444,0,3.555556,1.222222,15.44444,0.111111,0,0.696,4.884,0.027,21.525,13.525,171.953,0.935,0.151,0.42,1.08,0,18.33,13.08,181.67,1.17,0.08,5.4
0.666667,5.777778,0,5.444444,3.222222,48.22222,0.111111,0,0.775,5.164,0.027,20.485,12.617,164.326,0.948,0.159,0.55,3.27,0,23.55,14.09,178,0.55,0.36,5.3
0,0,0,6.272727,4.090909,45.90909,0.090909,0,0.463,2.67,0.027,18.361,11.762,159.761,0.961,0.071,0.82,5.18,0.09,16.45,11.82,145.55,1.18,0.18,5.1
14.90909,54.45455,0.090909,2.818182,2,14.90909,0.272727,0,20.575,88.381,0.631,6.386,4.807,38.869,0.179,0.134,23.09,87.64,0.36,7.27,4.91,37.91,0,0.27,5.1
0.090909,0.090909,0,4.090909,3.272727,32.81818,0.090909,0.090909,0.602,4.546,0.044,19.621,12.446,157.949,0.861,0.095,0.91,6.55,0,19.55,12,162.82,0.73,0.09,5
0,0,0,4.8,3,40.3,0.2,0.1,0.602,4.546,0.044,19.621,12.446,157.949,0.861,0.095,0.91,6.55,0,19.55,12,162.82,0.73,0.09,4.9
13.5,54.7,0.7,3.4,2.1,11.4,0.1,0.3,21.121,86.94,0.627,6.669,5.112,36.759,0.157,0.212,17.27,75,0.82,4.91,3.73,31.09,0.09,0.09,4.9
9,24.66667,0,2.333333,1.666667,23.66667,0.333333,0,21.521,87.721,0.571,6.832,5.141,39.772,0.114,0.132,23.08,98.08,0.83,7.08,5.25,56.33,0.67,0.42,4.8
0,0,0,7.428571,5,54,0.714286,0,0.513,3.128,0.009,18.27,11.553,156.711,1.018,0.062,0.45,0.73,0,19.73,12.09,162.64,1.27,0,4.8
0.166667,2.833333,0,7.333333,4.833333,65.83333,0.5,0,0.644,4.152,0.045,20.94,13.321,171.218,1.008,0.098,0.82,5.91,0.09,25.64,15.55,206.09,1.64,0.18,4.8
0,0,0,2.416667,1.833333,21.75,0.25,0.083333,0.097,0.306,0,6.519,4.476,49.068,0.302,0.035,0,0,0,5.64,3.82,40,0.27,0,4.7
18.27273,87,0.636364,2.181818,1.636364,13.27273,0,0.090909,22.505,97.984,0.675,7.135,5.597,46.021,0.282,0.158,21.45,64.64,0.73,8.09,6.45,50.91,0.09,0.09,4.6
0.222222,0.666667,0,2.666667,1.222222,18.88889,0.111111,0,0.749,4.449,0.018,20.364,12.657,166.329,1.017,0.187,0.73,6.91,0.18,19.55,11.55,166,1.27,0,4.5
0.272727,-1.09091,0,4.727273,2.727273,34,0.181818,0.090909,0.081,0.291,0,7.41,4.975,53.06,0.414,0.027,0,0,0,4.92,3.42,31.58,0.17,0,4.4
0.090909,0,0,5.363636,3.363636,37.09091,0.181818,0,0.044,0.319,0,6.673,4.675,51.041,0.391,0.035,0,0,0,5.64,3.91,42.45,0.18,0,4.3
0,0,0,5.444444,3.444444,42.44444,0,0,0.553,4.593,0.053,19.437,11.567,148.449,0.845,0.132,0.45,3.73,0.09,18.36,11.55,180.45,1.18,0.09,4.2
0,0,0,4.666667,3.166667,26.5,0.5,0,0.062,0.401,0,6.582,4.565,51.128,0.44,0.026,0,0,0,5.64,3.91,40.09,0.27,0.09,4.2
4.416667,15.16667,0,1.916667,1.583333,7.083333,0,0,22.281,94.449,0.695,7.291,5.564,46.168,0.223,0.088,27.45,113.55,0.64,7.09,5.55,45.64,0.18,0.27,4.1
0,0,0,1.545455,1.090909,10.18182,0.181818,0,0.018,0.082,0,6.411,4.396,44.703,0.297,0.018,0,0,0,6.82,4.73,56.27,0.27,0,4
5.909091,31.72727,0.090909,3.181818,2.272727,21.81818,0.181818,0,20.905,95.721,0.727,6.631,5.134,40.646,0.266,0.132,19.18,77.64,0.27,7.09,5.82,36.55,0.18,0.18,4
3,16.75,0,2.75,2.25,17.16667,0.083333,0,22.281,94.449,0.695,7.291,5.564,46.168,0.223,0.088,27.45,113.55,0.64,7.09,5.55,45.64,0.18,0.27,4
0.090909,0.636364,0,3.727273,2.363636,20,0.181818,0.090909,0.507,3.625,0.036,19.184,12.028,156.052,0.898,0.086,1.18,8.45,0.09,18.73,10.55,119.36,0.82,0.36,3.9
13.45455,57,1,4.181818,3.181818,32.18182,0.272727,0.181818,22.135,93.285,0.741,7.137,5.37,44.537,0.281,0.13,19.55,84.73,0.27,5.55,4.09,26.82,0,0.27,3.8
0.090909,1.909091,0,2.363636,1.727273,20.63636,0.090909,0,0.507,3.625,0.036,19.184,12.028,156.052,0.898,0.086,1.18,8.45,0.09,18.73,10.55,119.36,0.82,0.36,3.8
0.090909,0.363636,0,7,5,52.72727,0.272727,0,0.553,4.593,0.053,19.437,11.567,148.449,0.845,0.132,0.45,3.73,0.09,18.36,11.55,180.45,1.18,0.09,3.8
0,0,0,5.444444,3.555556,53.33333,0.555556,0,0.585,3.353,0.018,18.162,11.488,154.062,0.868,0.086,0.64,3,0,21.55,13.27,167.18,1.36,0.18,3.8
0.090909,0.545455,0,10.18182,7.363636,76.27273,0.545455,0,0.649,4.768,0.036,19.564,12.421,164.621,0.845,0.088,0.73,7.45,0.18,18.18,12.36,162.64,0.82,0,3.7
4.75,18.875,0.125,3.625,2.5,23.75,0,0,22.294,89.709,0.65,6.92,5.279,42.624,0.134,0.143,20.75,84.75,0.75,7.83,6,48.25,0.08,0.08,3.7
0,0,0,4.2,2.2,18.2,0,0,0.644,4.152,0.045,20.94,13.321,171.218,1.008,0.098,0.82,5.91,0.09,25.64,15.55,206.09,1.64,0.18,3.6
6.454545,12.27273,0.272727,2.090909,1.272727,5.727273,0,0,20.935,86.165,0.582,7.062,5.312,40.753,0.132,0.15,20.55,95.36,0.45,6.36,5,42,0.27,0.27,3.6
0,0,0,3.272727,2.363636,26.09091,0.545455,0,0.035,0.027,0,6.417,4.347,47.638,0.365,0.017,0,0,0,7.45,5.18,49.55,0.36,0.09,3.4
1.636364,4.818182,0,1,0.636364,4.818182,0,0,0.553,4.593,0.053,19.437,11.567,148.449,0.845,0.132,0.45,3.73,0.09,18.36,11.55,180.45,1.18,0.09,3.3
9.545455,32,0.363636,1.454545,0.909091,4.363636,0.090909,0,21.087,87.539,0.721,6.743,5.248,37.396,0.212,0.158,22.67,90.33,0.58,6.83,5.08,36.92,0.25,0.08,3.2
0.25,4,0.125,1.5,0.625,7.125,0,0.125,0.553,4.593,0.053,19.437,11.567,148.449,0.845,0.132,0.45,3.73,0.09,18.36,11.55,180.45,1.18,0.09,3.2
0.083333,0.75,0,3.416667,2.083333,25.58333,0.166667,0,0.063,0.528,0,6.165,4.138,46.936,0.353,0.009,0,0,0,7.45,5.36,53.64,0.27,0,3.1
0,0,0,0.272727,0.090909,1.818182,0,0,0.027,0.291,0,6.621,4.504,49.584,0.367,0.009,0.09,0.36,0,5.09,3.45,40,0.45,0,3
0,0,0,1,0.545455,5.363636,0.090909,0,0.106,0.307,0,6.955,4.749,52.288,0.366,0.035,0.09,0.18,0,5.18,3.36,36.45,0.27,0,2.9
0.333333,2.222222,0,5.333333,3.222222,39.22222,0.444444,0,0.612,4.08,0.036,19.008,11.997,161.037,1.008,0.131,0.27,1.55,0,19.55,13.45,196.64,1.36,0.18,2.9
0.545455,1.727273,0,2.454545,1.818182,19.18182,0.090909,0,0.6,3.911,0.036,19.537,11.954,157.882,1.136,0.099,0.55,6.91,0,16.64,10.27,129.36,0.73,0,2.8
0.181818,-0.54545,0,2.818182,1.181818,19.90909,0.090909,0,0.775,5.164,0.027,20.485,12.617,164.326,0.948,0.159,0.55,3.27,0,23.55,14.09,178,0.55,0.36,2.8
0,0,0,1.333333,1,12.33333,0,0,0.07,0.242,0,7.174,4.918,51.561,0.343,0.026,0,0,0,5,3.36,22.36,0.18,0.09,2.8
0,0,0,1,0.571429,7.428571,0,0,0.063,0.528,0,6.165,4.138,46.936,0.353,0.009,0,0,0,7.45,5.36,53.64,0.27,0,2.4
0.090909,1.636364,0,2.545455,1.454545,16.27273,0.181818,0.181818,0.513,3.128,0.009,18.27,11.553,156.711,1.018,0.062,0.45,0.73,0,19.73,12.09,162.64,1.27,0,2.2
0,0,0,2.166667,1.583333,15.16667,0.083333,0,0.035,0.135,0,7.536,5.224,58.565,0.489,0.017,0,0,0,4.91,3.64,47.18,0.27,0,2.2
0,0,0,6.9,3.5,49.3,0.1,0.1,0.559,3.729,0.026,20.843,12.774,163.281,0.807,0.249,0.36,3.18,0,19,11.36,156.36,1.09,0.27,2
