Justin Hardy,28,14,1,22,16,155,9.7,0,7,23,1.1,11.1,0.73,7,0,0,0,0,0,0,0,0,16,9.7,155,0.71,5.14,7.20,0.00,18.36,11.14,156.71,14.06,0.71,0.07
Keith Smith,27,14,5,2,0,0,0,0,0,0,0,0,0,0,4,9,0,4,3,2.3,0.6,0.3,4,2.3,9,22.43,118.93,5.30,1.00,6.21,5.00,47.21,9.44,0.21,0.14
Kenjon Barner,29,12,0,8,6,22,3.7,0,1,13,0.5,1.8,0.75,2.8,4,28,0,1,12,7,2.3,0.3,10,5,50,22.43,118.93,5.30,1.00,6.21,5.00,47.21,9.44,0.21,0.14
Luke Stocker,31,13,8,12,7,43,6.1,0,1,18,0.5,3.3,0.58,3.6,0,0,0,0,0,0,0,0,7,6.1,43,0.07,0.29,4.00,0.00,5.71,4.00,49.00,12.25,0.50,0.00
Olamide Zaccheaus,22,8,0,3,1,93,93,1,1,93,0.1,11.6,0.33,31,0,0,0,0,0,0,0,0,1,93,93,0.71,5.14,7.20,0.00,18.36,11.14,156.71,14.06,0.71,0.07
Qadree Ollison,23,6,0,2,1,7,7,0,1,7,0.2,1.2,0.5,3.5,17,38,3,4,6,2.2,6.3,2.8,18,2.5,45,22.43,118.93,5.30,1.00,6.21,5.00,47.21,9.44,0.21,0.14
Russell Gage,23,14,2,55,37,329,8.9,1,17,19,2.6,23.5,0.67,6,2,5,0,0,6,2.5,0.4,0.1,39,8.6,334,0.71,5.14,7.20,0.00,18.36,11.14,156.71,14.06,0.71,0.07
Chris Moore,26,12,1,5,3,21,7,0,0,13,0.3,1.8,0.6,4.2,0,0,0,0,0,0,0,0,3,7,21,0.93,7.64,8.23,0.00,19.29,11.79,151.64,12.87,0.79,0.07
Gus Edwards,24,14,0,5,5,36,7.2,0,1,10,0.4,2.6,1,7.2,100,515,2,34,63,5.2,36.8,7.1,105,5.2,551,21.71,104.14,4.80,0.79,5.79,4.57,40.57,8.88,0.21,0.21
Hayden Hurst,26,14,4,34,27,305,11.3,2,14,61,1.9,21.8,0.79,9,0,0,0,0,0,0,0,0,27,11.3,305,0.14,2.00,14.00,0.00,5.64,3.79,44.36,11.72,0.50,0.00
Justice Hill,22,14,0,9,4,28,7,0,1,10,0.3,2,0.44,3.1,45,167,0,7,13,3.7,11.9,3.2,49,4,195,21.71,104.14,4.80,0.79,5.79,4.57,40.57,8.88,0.21,0.21
Mark Andrews,23,14,4,89,58,759,13.1,8,40,51,4.1,54.2,0.65,8.5,0,0,0,0,0,0,0,0,58,13.1,759,0.14,2.00,14.00,0.00,5.64,3.79,44.36,11.72,0.50,0.00
Mark Ingram,30,14,14,27,24,211,8.8,4,14,25,1.7,15.1,0.89,7.8,194,963,10,50,53,5,68.8,13.9,218,5.4,1174,21.71,104.14,4.80,0.79,5.79,4.57,40.57,8.88,0.21,0.21
Marquise Brown,22,12,9,67,43,563,13.1,7,24,83,3.6,46.9,0.64,8.4,0,0,0,0,0,0,0,0,43,13.1,563,0.93,7.64,8.23,0.00,19.29,11.79,151.64,12.87,0.79,0.07
Miles Boykin,23,14,10,19,12,190,15.8,3,10,50,0.9,13.6,0.63,10,0,0,0,0,0,0,0,0,12,15.8,190,0.93,7.64,8.23,0.00,19.29,11.79,151.64,12.87,0.79,0.07
Nick Boyle,26,14,13,37,27,291,10.8,2,12,35,1.9,20.8,0.73,7.9,0,0,0,0,0,0,0,0,27,10.8,291,0.14,2.00,14.00,0.00,5.64,3.79,44.36,11.72,0.50,0.00
Patrick Ricard,25,14,6,11,8,47,5.9,1,3,10,0.6,3.4,0.73,4.3,0,0,0,0,0,0,0,0,8,5.9,47,21.71,104.14,4.80,0.79,5.79,4.57,40.57,8.88,0.21,0.21
Seth Roberts,28,14,0,31,19,248,13.1,2,16,33,1.4,17.7,0.61,8,0,0,0,0,0,0,0,0,19,13.1,248,0.93,7.64,8.23,0.00,19.29,11.79,151.64,12.87,0.79,0.07
Willie Snead,27,14,9,40,28,317,11.3,5,20,50,2,22.6,0.7,7.9,1,2,0,0,2,2,0.1,0.1,29,11,319,0.93,7.64,8.23,0.00,19.29,11.79,151.64,12.87,0.79,0.07
