Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
T.J. Jones,NYG,27,WR,3,0,4,3,38,12.7,1,2,28,1,12.7,0.75,9.5,0,0,0,0,0,0,0,0,3,12.7,38,1,3
Wayne Gallman,NYG,25,rb,10,2,15,11,102,9.3,1,4,21,1.1,10.2,0.73,6.8,29,110,2,6,22,3.8,11,2.9,40,5.3,212,3,1
Bilal Powell,NYJ,31,rb,11,1,10,6,28,4.7,0,0,9,0.5,2.5,0.6,2.8,51,199,0,11,17,3.9,18.1,4.6,57,4,227,0,0
Braxton Berrios,NYJ,24,WR,14,0,11,5,104,20.8,0,2,69,0.4,7.4,0.46,9.5,0,0,0,0,0,0,0,0,5,20.8,104,0,1
Chris Herndon,NYJ,23,TE,1,0,2,1,7,7,0,0,7,1,7,0.5,3.5,0,0,0,0,0,0,0,0,1,7,7,0,0
Daniel Brown,NYJ,27,te,14,3,6,4,40,10,1,3,20,0.3,2.9,0.67,6.7,0,0,0,0,0,0,0,0,4,10,40,1,0
Demaryius Thomas,NYJ,32,WR,11,10,58,36,433,12,1,22,47,3.3,39.4,0.62,7.5,0,0,0,0,0,0,0,0,36,12,433,1,0
Jamison Crowder,NYJ,26,WR,14,10,104,66,707,10.7,5,34,41,4.7,50.5,0.64,6.8,1,4,0,0,4,4,0.3,0.1,67,10.6,711,5,0
Jeff Smith,NYJ,22,WR,1,0,2,1,12,12,0,1,12,1,12,0.5,6,0,0,0,0,0,0,0,0,1,12,12,0,0
Josh Adams,NYJ,23,RB,3,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,1,10,1.5,4,2.7,8,1.5,12,0,0
Josh Bellamy,NYJ,30,WR,7,0,3,2,20,10,0,1,15,0.3,2.9,0.67,6.7,0,0,0,0,0,0,0,0,2,10,20,0,0
LeVeon Bell,NYJ,27,RB,13,13,69,57,404,7.1,1,19,23,4.4,31.1,0.83,5.9,204,676,3,28,19,3.3,52,15.7,261,4.1,1080,4,1
Robby Anderson,NYJ,26,WR,14,13,85,47,729,15.5,4,33,92,3.4,52.1,0.55,8.6,1,4,0,0,4,4,0.3,0.1,48,15.3,733,4,1
Ryan Griffin,NYJ,29,TE,13,13,41,34,320,9.4,5,19,45,2.6,24.6,0.83,7.8,0,0,0,0,0,0,0,0,34,9.4,320,5,0
Trevon Wesco,NYJ,24,te,14,1,1,1,15,15,0,1,15,0.1,1.1,1,15,1,2,0,1,2,2,0.1,0.1,2,8.5,17,0,0
Ty Montgomery,NYJ,26,wr,14,2,16,12,89,7.4,0,3,21,0.9,6.4,0.75,5.6,30,96,0,1,15,3.2,6.9,2.1,42,4.4,185,0,0
Vyncint Smith,NYJ,23,wr,11,2,23,11,157,14.3,0,7,37,1,14.3,0.48,6.8,2,32,1,2,19,16,2.9,0.2,13,14.5,189,1,1
Alec Ingold,OAK,23,RB,14,4,6,6,44,7.3,1,4,14,0.4,3.1,1,7.3,9,17,0,7,4,1.9,1.2,0.6,15,4.1,61,1,0
Darren Waller,OAK,27,TE,14,14,103,80,1001,12.5,3,48,48,5.7,71.5,0.78,9.7,2,5,0,0,7,2.5,0.4,0.1,82,12.3,1006,3,1
DeAndre Washington,OAK,26,rb,14,1,29,26,216,8.3,0,7,28,1.9,15.4,0.9,7.4,68,225,2,15,14,3.3,16.1,4.9,94,4.7,441,2,0
Derek Carrier,OAK,29,te,14,4,16,10,92,9.2,1,4,25,0.7,6.6,0.63,5.8,1,27,0,1,27,27,1.9,0.1,11,10.8,119,1,0
Dwayne Harris,OAK,32,WR,3,0,1,1,7,7,0,0,7,0.3,2.3,1,7,0,0,0,0,0,0,0,0,1,7,7,0,0
Foster Moreau,OAK,22,TE,13,7,25,21,174,8.3,5,14,23,1.6,13.4,0.84,7,0,0,0,0,0,0,0,0,21,8.3,174,5,0
Hunter Renfrow,OAK,24,wr,11,2,53,36,396,11,2,23,65,3.3,36,0.68,7.5,0,0,0,0,0,0,0,0,36,11,396,2,0
Jalen Richard,OAK,26,RB,14,0,37,30,266,8.9,0,12,31,2.1,19,0.81,7.2,31,114,0,9,13,3.7,8.1,2.2,61,6.2,380,0,2
JJ Nelson,OAK,27,wr,2,1,5,4,36,9,1,1,29,2,18,0.8,7.2,0,0,0,0,0,0,0,0,4,9,36,1,0
Josh Jacobs,OAK,21,RB,13,13,27,20,166,8.3,0,8,28,1.5,12.8,0.74,6.1,242,1150,7,53,51,4.8,88.5,18.6,262,5,1316,7,1
Keelan Doss,OAK,23,wr,8,2,14,11,133,12.1,0,6,31,1.4,16.6,0.79,9.5,0,0,0,0,0,0,0,0,11,12.1,133,0,0
Marcell Ateman,OAK,25,WR,9,0,3,2,70,35,0,2,36,0.2,7.8,0.67,23.3,0,0,0,0,0,0,0,0,2,35,70,0,0
Rico Gafford,OAK,23,wr,2,1,1,1,49,49,1,1,49,0.5,24.5,1,49,0,0,0,0,0,0,0,0,1,49,49,1,0
Ryan Grant,OAK,29,wr,2,1,9,4,14,3.5,0,1,9,2,7,0.44,1.6,0,0,0,0,0,0,0,0,4,3.5,14,0,0
Tyrell Williams,OAK,27,WR,12,10,60,38,569,15,6,30,46,3.2,47.4,0.63,9.5,0,0,0,0,0,0,0,0,38,15,569,6,0
Alshon Jeffery,PHI,29,WR,10,10,73,43,490,11.4,4,36,38,4.3,49,0.59,6.7,1,2,1,1,2,2,0.2,0.1,44,11.2,492,5,0
Boston Scott,PHI,24,rb,9,2,14,14,113,8.1,0,6,17,1.6,12.6,1,8.1,39,179,2,12,25,4.6,19.9,4.3,53,5.5,292,2,4
Dallas Goedert,PHI,24,TE,13,7,65,45,451,10,4,24,28,3.5,34.7,0.69,6.9,0,0,0,0,0,0,0,0,45,10,451,4,2
Darren Sproles,PHI,36,rb,6,1,10,6,24,4,0,1,7,1,4,0.6,2.4,17,66,0,3,17,3.9,11,2.8,23,3.9,90,0,1
DeSean Jackson,PHI,33,wr,3,3,10,9,159,17.7,2,6,53,3,53,0.9,15.9,0,0,0,0,0,0,0,0,9,17.7,159,2,0
Greg Ward,PHI,24,wr,5,1,28,18,140,7.8,1,10,13,3.6,28,0.64,5,0,0,0,0,0,0,0,0,18,7.8,140,1,0
Jay Ajayi,PHI,26,RB,3,0,1,0,0,0,0,0,0,0,0,0,0,10,30,0,3,11,3,10,3.3,10,3,30,0,0
JJ Arcega-Whiteside,PHI,23,wr,14,4,20,8,130,16.3,1,5,30,0.6,9.3,0.4,6.5,0,0,0,0,0,0,0,0,8,16.3,130,1,0
Jordan Howard,PHI,25,rb,9,4,14,10,69,6.9,1,3,20,1.1,7.7,0.71,4.9,119,525,6,28,20,4.4,58.3,13.2,129,4.6,594,7,0
Joshua Perkins,PHI,26,TE,3,0,5,5,37,7.4,0,3,13,1.7,12.3,1,7.4,0,0,0,0,0,0,0,0,5,7.4,37,0,0
Miles Sanders,PHI,22,RB,14,9,52,42,433,10.3,3,16,45,3,30.9,0.81,8.3,150,687,2,24,65,4.6,49.1,10.7,192,5.8,1120,5,2
Nelson Agholor,PHI,26,WR,11,10,69,39,363,9.3,3,17,43,3.5,33,0.57,5.3,2,7,0,1,16,3.5,0.6,0.2,41,9,370,3,2
Zach Ertz,PHI,29,TE,14,14,129,84,888,10.6,6,48,30,6,63.4,0.65,6.9,0,0,0,0,0,0,0,0,84,10.6,888,6,1
Benny Snell,PIT,21,rb,11,1,4,3,23,7.7,0,0,14,0.3,2.1,0.75,5.8,83,321,1,15,23,3.9,29.2,7.5,86,4,344,1,1
Diontae Johnson,PIT,23,WR,14,10,76,47,545,11.6,4,25,45,3.4,38.9,0.62,7.2,4,41,0,2,17,10.3,2.9,0.3,51,11.5,586,4,5
James Conner,PIT,24,RB,9,9,38,34,251,7.4,3,14,26,3.8,27.9,0.9,6.6,110,432,4,24,25,3.9,48,12.2,144,4.7,683,7,1
James Washington,PIT,23,WR,13,8,69,39,694,17.8,3,29,79,3,53.4,0.57,10.1,0,0,0,0,0,0,0,0,39,17.8,694,3,1
Jaylen Samuels,PIT,23,rb,12,4,49,42,257,6.1,1,17,18,3.5,21.4,0.86,5.2,63,168,1,9,13,2.7,14,5.3,105,4,425,2,1
Johnny Holton,PIT,28,wr,14,3,15,3,21,7,0,1,18,0.2,1.5,0.2,1.4,1,9,0,1,9,9,0.6,0.1,4,7.5,30,0,0
JuJu Smith-Schuster,PIT,23,WR,10,10,60,38,524,13.8,3,20,76,3.8,52.4,0.63,8.7,0,0,0,0,0,0,0,0,38,13.8,524,3,1
Kerrith Whyte,PIT,23,RB,4,0,1,1,9,9,0,1,9,0.3,2.3,1,9,16,99,0,4,21,6.2,24.8,4,17,6.4,108,0,0
Roosevelt Nix,PIT,27,RB,3,0,3,2,4,2,0,0,4,0.7,1.3,0.67,1.3,0,0,0,0,0,0,0,0,2,2,4,0,0
Ryan Switzer,PIT,25,WR,9,0,11,8,27,3.4,0,2,8,0.9,3,0.73,2.5,0,0,0,0,0,0,0,0,8,3.4,27,0,1
Tevin Jones,PIT,27,WR,5,0,10,4,61,15.3,0,1,28,0.8,12.2,0.4,6.1,0,0,0,0,0,0,0,0,4,15.3,61,0,0
Tony Brooks-James,PIT,25,RB,3,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,8,0.9,2.3,2.7,8,0.9,7,0,0
Trey Edmunds,PIT,25,RB,9,0,7,6,48,8,0,2,11,0.7,5.3,0.86,6.9,22,92,0,2,45,4.2,10.2,2.4,28,5,140,0,0
Vance McDonald,PIT,29,TE,12,12,47,33,245,7.4,3,11,22,2.8,20.4,0.7,5.2,1,2,0,0,2,2,0.2,0.1,34,7.3,247,3,1
Xavier Grimble,PIT,27,te,3,1,3,1,3,3,0,0,3,0.3,1,0.33,1,0,0,0,0,0,0,0,0,1,3,3,0,0
Zach Gentry,PIT,23,TE,4,0,1,1,4,4,0,1,4,0.3,1,1,4,0,0,0,0,0,0,0,0,1,4,4,0,0
C.J. Prosise,SEA,25,RB,8,0,12,10,76,7.6,0,3,21,1.3,9.5,0.83,6.3,19,58,1,4,17,3.1,7.3,2.4,29,4.6,134,1,1
Chris Carson,SEA,25,RB,14,14,46,36,246,6.8,2,9,21,2.6,17.6,0.78,5.3,270,1190,7,73,59,4.4,85,19.3,306,4.7,1436,9,7
D.K. Metcalf,SEA,22,WR,14,13,87,52,819,15.8,6,33,54,3.7,58.5,0.6,9.4,2,11,0,0,7,5.5,0.8,0.1,54,15.4,830,6,3
David Moore,SEA,24,wr,12,1,30,14,250,17.9,2,12,60,1.2,20.8,0.47,8.3,2,6,0,0,4,3,0.5,0.2,16,16,256,2,1
Jacob Hollister,SEA,26,te,9,2,45,32,260,8.1,3,11,22,3.6,28.9,0.71,5.8,0,0,0,0,0,0,0,0,32,8.1,260,3,0
Jaron Brown,SEA,29,wr,12,4,26,16,220,13.8,2,10,48,1.3,18.3,0.62,8.5,0,0,0,0,0,0,0,0,16,13.8,220,2,1
Luke Willson,SEA,29,te,7,6,10,8,79,9.9,0,5,17,1.1,11.3,0.8,7.9,0,0,0,0,0,0,0,0,8,9.9,79,0,0
Malik Turner,SEA,23,wr,14,2,19,14,222,15.9,1,9,33,1,15.9,0.74,11.7,0,0,0,0,0,0,0,0,14,15.9,222,1,0
Nick Bellore,SEA,30,RB,12,1,1,1,20,20,0,1,20,0.1,1.7,1,20,0,0,0,0,0,0,0,0,1,20,20,0,0
Rashaad Penny,SEA,23,RB,10,0,11,8,83,10.4,1,3,30,0.8,8.3,0.73,7.5,65,370,3,16,58,5.7,37,6.5,73,6.2,453,4,1
Travis Homer,SEA,21,RB,14,0,0,0,0,0,0,0,0,0,0,0,0,3,36,0,2,29,12,2.6,0.2,3,12,36,0,0
Tyler Lockett,SEA,27,WR,14,14,96,75,994,13.3,7,48,44,5.4,71,0.78,10.4,4,-5,0,0,3,-1.3,-0.4,0.3,79,12.5,989,7,0
Will Dissly,SEA,23,te,6,6,27,23,262,11.4,4,14,38,3.8,43.7,0.85,9.7,1,7,0,0,7,7,1.2,0.2,24,11.2,269,4,1
Dante Pettis,SFO,24,wr,11,4,24,11,109,9.9,2,7,21,1,9.9,0.46,4.5,0,0,0,0,0,0,0,0,11,9.9,109,2,0
Deebo Samuel,SFO,23,WR,13,9,70,48,669,13.9,3,27,42,3.7,51.5,0.69,9.6,9,98,1,3,31,10.9,7.5,0.7,57,13.5,767,4,1
George Kittle,SFO,26,TE,12,12,92,73,888,12.2,4,43,61,6.1,74,0.79,9.7,4,15,0,1,18,3.8,1.3,0.3,77,11.7,903,4,1
Jeff Wilson,SFO,24,RB,10,0,5,3,34,11.3,1,1,25,0.3,3.4,0.6,6.8,27,105,4,9,25,3.9,10.5,2.7,30,4.6,139,5,0
Kendrick Bourne,SFO,24,WR,14,0,41,28,329,11.8,5,21,30,2,23.5,0.68,8,0,0,0,0,0,0,0,0,28,11.8,329,5,0
Kyle Juszczyk,SFO,28,RB,10,10,21,18,167,9.3,1,9,27,1.8,16.7,0.86,8,3,7,0,1,6,2.3,0.7,0.3,21,8.3,174,1,0
Levine Toilolo,SFO,28,TE,11,0,2,2,10,5,0,0,8,0.2,0.9,1,5,0,0,0,0,0,0,0,0,2,5,10,0,0
Marquise Goodwin,SFO,29,wr,9,6,21,12,186,15.5,1,10,38,1.3,20.7,0.57,8.9,1,15,0,1,15,15,1.7,0.1,13,15.5,201,1,0
Matt Breida,SFO,24,rb,11,5,21,19,120,6.3,1,6,17,1.7,10.9,0.91,5.7,119,607,1,23,83,5.1,55.2,10.8,138,5.3,727,2,2
Raheem Mostert,SFO,27,RB,14,0,19,13,164,12.6,2,6,39,0.9,11.7,0.68,8.6,116,662,5,26,41,5.7,47.3,8.3,129,6.4,826,7,2
Richie James,SFO,24,wr,14,1,10,6,165,27.5,1,5,57,0.4,11.8,0.6,16.5,2,-1,0,0,0,-0.5,-0.1,0.1,8,20.5,164,1,1
Ross Dwelley,SFO,24,te,14,6,21,14,66,4.7,2,7,11,1,4.7,0.67,3.1,0,0,0,0,0,0,0,0,14,4.7,66,2,0
Tevin Coleman,SFO,26,RB,12,9,28,20,173,8.7,1,9,37,1.7,14.4,0.71,6.2,127,500,6,24,48,3.9,41.7,10.6,147,4.6,673,7,0
Antony Auclair,TAM,26,te,8,5,3,1,11,11,0,1,11,0.1,1.4,0.33,3.7,0,0,0,0,0,0,0,0,1,11,11,0,0
Bobo Wilson,TAM,24,wr,6,1,11,3,35,11.7,0,2,14,0.5,5.8,0.27,3.2,0,0,0,0,0,0,0,0,3,11.7,35,0,3
Breshad Perriman,TAM,26,wr,12,2,49,24,409,17,5,20,44,2,34.1,0.49,8.3,2,16,0,1,13,8,1.3,0.2,26,16.3,425,5,0
Cameron Brate,TAM,28,TE,14,6,47,33,292,8.8,3,19,37,2.4,20.9,0.7,6.2,0,0,0,0,0,0,0,0,33,8.8,292,3,0
Chris Godwin,TAM,23,WR,14,14,120,86,1333,15.5,9,63,71,6.1,95.2,0.72,11.1,1,8,0,0,8,8,0.6,0.1,87,15.4,1341,9,0
Dare Ogunbowale,TAM,25,RB,14,0,41,32,252,7.9,0,12,21,2.3,18,0.78,6.1,10,13,2,3,12,1.3,0.9,0.7,42,6.3,265,2,1
Ishmael Hyman,TAM,24,WR,1,0,1,1,3,3,0,1,3,1,3,1,3,0,0,0,0,0,0,0,0,1,3,3,0,0
Justin Watson,TAM,24,WR,14,0,12,8,89,11.1,1,6,17,0.6,6.4,0.67,7.4,0,0,0,0,0,0,0,0,8,11.1,89,1,0
Mike Evans,TAM,26,WR,13,13,118,67,1157,17.3,8,54,67,5.2,89,0.57,9.8,0,0,0,0,0,0,0,0,67,17.3,1157,8,0
O.J. Howard,TAM,25,TE,12,12,47,31,413,13.3,1,21,33,2.6,34.4,0.66,8.8,0,0,0,0,0,0,0,0,31,13.3,413,1,1
Peyton Barber,TAM,25,RB,14,7,20,14,90,6.4,1,3,16,1,6.4,0.7,4.5,143,447,6,23,17,3.1,31.9,10.2,157,3.4,537,7,0
Ronald Jones,TAM,22,RB,14,7,34,26,267,10.3,0,11,41,1.9,19.1,0.77,7.9,147,541,5,27,25,3.7,38.6,10.5,173,4.7,808,5,1
Scott Miller,TAM,22,wr,10,2,26,13,200,15.4,1,5,48,1.3,20,0.5,7.7,2,16,0,1,18,8,1.6,0.2,15,14.4,216,1,0
T.J. Logan,TAM,25,RB,12,0,3,2,13,6.5,0,1,11,0.2,1.1,0.67,4.3,3,10,0,0,6,3.3,0.8,0.3,5,4.6,23,0,0
Tanner Hudson,TAM,25,te,8,1,4,2,26,13,0,1,14,0.3,3.3,0.5,6.5,0,0,0,0,0,0,0,0,2,13,26,0,0
A.J. Brown,TEN,22,WR,14,9,74,47,893,19,7,35,91,3.4,63.8,0.64,12.1,2,11,0,1,13,5.5,0.8,0.1,49,18.4,904,7,1
Adam Humphries,TEN,26,wr,12,3,47,37,374,10.1,2,20,30,3.1,31.2,0.79,8,1,1,0,0,1,1,0.1,0.1,38,9.9,375,2,1
Anthony Firkser,TEN,24,te,13,1,21,13,199,15.3,1,9,39,1,15.3,0.62,9.5,0,0,0,0,0,0,0,0,13,15.3,199,1,0
Cody Hollister,TEN,26,WR,4,0,2,2,13,6.5,0,0,11,0.5,3.3,1,6.5,0,0,0,0,0,0,0,0,2,6.5,13,0,0
Corey Davis,TEN,24,WR,13,9,60,36,517,14.4,2,26,38,2.8,39.8,0.6,8.6,0,0,0,0,0,0,0,0,36,14.4,517,2,1
Dalyn Dawkins,TEN,25,RB,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,2,2,2,1,2,0,0
Darius Jennings,TEN,27,WR,7,0,5,2,17,8.5,0,2,11,0.3,2.4,0.4,3.4,0,0,0,0,0,0,0,0,2,8.5,17,0,0
Delanie Walker,TEN,35,te,7,4,31,21,215,10.2,2,11,29,3,30.7,0.68,6.9,0,0,0,0,0,0,0,0,21,10.2,215,2,1
Derrick Henry,TEN,25,RB,14,14,24,18,206,11.4,2,4,75,1.3,14.7,0.75,8.6,271,1329,13,61,74,4.9,94.9,19.4,289,5.3,1535,15,5
Dion Lewis,TEN,29,RB,14,0,30,24,145,6,1,6,24,1.7,10.4,0.8,4.8,38,134,0,5,15,3.5,9.6,2.7,62,4.5,279,1,1
Jonnu Smith,TEN,24,TE,14,13,40,32,376,11.8,2,14,57,2.3,26.9,0.8,9.4,3,71,0,2,57,23.7,5.1,0.2,35,12.8,447,2,0
Kalif Raymond,TEN,25,wr,7,1,10,7,138,19.7,1,6,52,1,19.7,0.7,13.8,1,-5,0,0,-5,-5,-0.7,0.1,8,16.6,133,1,0
Khari Blasingame,TEN,23,rb,4,1,3,3,47,15.7,0,2,24,0.8,11.8,1,15.7,0,0,0,0,0,0,0,0,3,15.7,47,0,0
MyCole Pruitt,TEN,27,TE,14,9,4,2,62,31,0,2,42,0.1,4.4,0.5,15.5,0,0,0,0,0,0,0,0,2,31,62,0,0
Tajae Sharpe,TEN,25,wr,13,6,27,19,247,13,2,15,47,1.5,19,0.7,9.1,0,0,0,0,0,0,0,0,19,13,247,2,0
Adrian Peterson,WAS,34,RB,13,13,17,14,123,8.8,0,7,22,1.1,9.5,0.82,7.2,183,784,4,36,29,4.3,60.3,14.1,197,4.6,907,4,2
Chris Thompson,WAS,29,RB,9,0,51,37,360,9.7,0,14,39,4.1,40,0.73,7.1,26,93,0,3,12,3.6,10.3,2.9,63,7.2,453,0,1
Derrius Guice,WAS,22,rb,5,1,9,7,79,11.3,1,2,45,1.4,15.8,0.78,8.8,42,245,2,9,60,5.8,49,8.4,49,6.6,324,3,0
Hale Hentges,WAS,23,te,9,3,5,2,13,6.5,0,1,13,0.2,1.4,0.4,2.6,0,0,0,0,0,0,0,0,2,6.5,13,0,0
Jeremy Sprinkle,WAS,25,TE,14,11,31,21,209,10,1,11,23,1.5,14.9,0.68,6.7,0,0,0,0,0,0,0,0,21,10,209,1,1
Josh Ferguson,WAS,26,RB,1,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,1,7,3,9,3,3,3,9,0,0
Kelvin Harmon,WAS,23,WR,14,7,33,22,274,12.5,0,12,30,1.6,19.6,0.67,8.3,0,0,0,0,0,0,0,0,22,12.5,274,0,0
Paul Richardson,WAS,27,wr,10,6,42,28,245,8.8,2,13,22,2.8,24.5,0.67,5.8,1,0,0,0,0,0,0,0.1,29,8.4,245,2,0
Steven Sims,WAS,22,wr,14,1,38,23,165,7.2,1,11,19,1.6,11.8,0.61,4.3,6,82,1,1,65,13.7,5.9,0.4,29,8.5,247,2,1
Terry McLaurin,WAS,23,WR,13,13,84,51,833,16.3,7,40,75,3.9,64.1,0.61,9.9,0,0,0,0,0,0,0,0,51,16.3,833,7,0
Trey Quinn,WAS,24,wr,12,6,47,26,198,7.6,1,10,19,2.2,16.5,0.55,4.2,0,0,0,0,0,0,0,0,26,7.6,198,1,1
Vernon Davis,WAS,35,te,4,1,19,10,123,12.3,1,4,48,2.5,30.8,0.53,6.5,0,0,0,0,0,0,0,0,10,12.3,123,1,0
Wendell Smallwood,WAS,25,RB,13,0,13,9,64,7.1,0,4,18,0.7,4.9,0.69,4.9,19,76,0,4,17,4,5.8,1.5,28,5,140,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
