Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
Patrick Ricard,BAL,25,RB,14,6,11,8,47,5.9,1,3,10,0.6,3.4,0.73,4.3,0,0,0,0,0,0,0,0,8,5.9,47,1,0
Seth Roberts,BAL,28,WR,14,0,31,19,248,13.1,2,16,33,1.4,17.7,0.61,8,0,0,0,0,0,0,0,0,19,13.1,248,2,0
Willie Snead,BAL,27,WR,14,9,40,28,317,11.3,5,20,50,2,22.6,0.7,7.9,1,2,0,0,2,2,0.1,0.1,29,11,319,5,0
Andre Roberts,BUF,31,WR,12,0,7,3,20,6.7,0,1,7,0.3,1.7,0.43,2.9,1,7,0,0,7,7,0.6,0.1,4,6.8,27,0,1
Cole Beasley,BUF,30,WR,14,10,94,60,670,11.2,6,32,51,4.3,47.9,0.64,7.1,0,0,0,0,0,0,0,0,60,11.2,670,6,0
Dawson Knox,BUF,23,TE,14,10,46,27,355,13.1,2,14,49,1.9,25.4,0.59,7.7,1,9,0,1,9,9,0.6,0.1,28,13,364,2,0
Devin Singletary,BUF,22,RB,11,7,40,28,192,6.9,2,5,49,2.5,17.5,0.7,4.8,136,729,2,35,38,5.4,66.3,12.4,164,5.6,921,4,4
Duke Williams,BUF,26,wr,3,2,7,6,58,9.7,1,4,23,2,19.3,0.86,8.3,0,0,0,0,0,0,0,0,6,9.7,58,1,0
Frank Gore,BUF,36,RB,14,7,12,10,84,8.4,0,4,18,0.7,6,0.83,7,160,573,2,29,41,3.6,40.9,11.4,170,3.9,657,2,0
Isaiah McKenzie,BUF,24,wr,13,6,32,23,236,10.3,1,11,46,1.8,18.2,0.72,7.4,6,19,0,2,10,3.2,1.5,0.5,29,8.8,255,1,0
John Brown,BUF,29,WR,14,14,111,71,1007,14.2,5,52,40,5.1,71.9,0.64,9.1,1,4,0,0,4,4,0.3,0.1,72,14,1011,5,0
Lee Smith,BUF,32,te,14,5,5,4,31,7.8,1,2,9,0.3,2.2,0.8,6.2,0,0,0,0,0,0,0,0,4,7.8,31,1,0
Patrick DiMarco,BUF,30,RB,14,3,7,5,41,8.2,0,1,27,0.4,2.9,0.71,5.9,3,7,0,0,4,2.3,0.5,0.2,8,6,48,0,0
Robert Foster,BUF,25,wr,11,1,13,3,64,21.3,0,3,24,0.3,5.8,0.23,4.9,2,29,0,1,22,14.5,2.6,0.2,5,18.6,93,0,0
T.J. Yeldon,BUF,26,RB,5,0,11,10,100,10,0,5,23,2,20,0.91,9.1,10,45,0,2,11,4.5,9,2,20,7.3,145,0,1
Tommy Sweeney,BUF,24,te,5,1,8,3,38,12.7,0,1,29,0.6,7.6,0.38,4.8,0,0,0,0,0,0,0,0,3,12.7,38,0,0
Tyler Kroft,BUF,27,te,9,2,9,5,66,13.2,1,5,20,0.6,7.3,0.56,7.3,0,0,0,0,0,0,0,0,5,13.2,66,1,0
Alex Armah,CAR,25,RB,14,1,2,2,6,3,0,0,4,0.1,0.4,1,3,6,11,1,1,4,1.8,0.8,0.4,8,2.1,17,1,0
Brandon Zylstra,CAR,26,WR,6,0,3,1,7,7,0,1,7,0.2,1.2,0.33,2.3,0,0,0,0,0,0,0,0,1,7,7,0,1
Chris Hogan,CAR,32,WR,5,0,8,4,37,9.3,0,2,13,0.8,7.4,0.5,4.6,0,0,0,0,0,0,0,0,4,9.3,37,0,0
Chris Manhertz,CAR,27,te,13,5,1,1,11,11,0,1,11,0.1,0.8,1,11,0,0,0,0,0,0,0,0,1,11,11,0,0
Christian McCaffrey,CAR,23,RB,14,14,117,94,814,8.7,4,49,25,6.7,58.1,0.8,7,265,1307,14,51,84,4.9,93.4,18.9,359,5.9,2121,18,1
Curtis Samuel,CAR,23,WR,14,13,97,50,597,11.9,6,34,44,3.6,42.6,0.52,6.2,17,126,1,7,16,7.4,9,1.2,67,10.8,723,7,0
D.J. Moore,CAR,22,WR,14,14,133,86,1174,13.7,4,63,52,6.1,83.9,0.65,8.8,6,40,0,3,13,6.7,2.9,0.4,92,13.2,1214,4,2
DeAndrew White,CAR,28,WR,8,0,1,1,8,8,0,0,8,0.1,1,1,8,0,0,0,0,0,0,0,0,1,8,8,0,0
Greg Olsen,CAR,34,TE,12,12,71,48,552,11.5,2,33,41,4,46,0.68,7.8,0,0,0,0,0,0,0,0,48,11.5,552,2,0
Ian Thomas,CAR,23,te,14,3,23,12,108,9,1,7,19,0.9,7.7,0.52,4.7,0,0,0,0,0,0,0,0,12,9,108,1,0
Jarius Wright,CAR,30,WR,14,8,48,25,267,10.7,0,14,33,1.8,19.1,0.52,5.6,1,-7,0,0,-7,-7,-0.5,0.1,26,10,260,0,0
Jordan Scarlett,CAR,23,RB,9,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,6,2.3,1,0.4,4,2.3,9,0,0
