Player,Actual,Scrim yds,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Yds/rec,Rec TD,Rec 1D,Catch %,Rushing TD,Rush 1D,Rush long,Rec long,Yards/att,Touch,Yards/touch,Scrim yds,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Yds/rec,Rec TD,Rec 1D,Catch %,Rushing TD,Rush 1D,Rush long,Rec long,Yards/att,Touch,Yards/touch
Le'Veon Bell,285.4,119.02857142857142,0.6285714285714286,0.02857142857142857,4.3428571428571425,5.628571428571429,18.485714285714284,22.0,79.34285714285714,39.68571428571428,8.3,0.08571428571428572,1.7142857142857142,79.83333333333333,0.5428571428571428,4.428571428571429,55.333333333333336,37.0,4.366666666666666,22.82857142857143,5.133333333333334,115.33333333333333,0.5,0.0,4.0,4.333333333333333,18.833333333333332,23,92.66666666666667,22.666666666666668,5.7,0.0,0.6666666666666666,92.3,0.5,4.5,42.0,20.0,4.9,22.833333333333332,5.1
Le'Veon Bell,110.7,119.79310344827586,0.6551724137931034,0.034482758620689655,4.413793103448276,5.896551724137931,18.413793103448278,21.5,76.58620689655173,43.206896551724135,9.600000000000001,0.10344827586206896,1.9310344827586208,73.6,0.5517241379310345,4.413793103448276,62.0,45.5,4.1,22.82758620689655,5.15,138.4375,0.6875,0.0,5.1875,6.5625,18.125,22,85.0625,53.375,10.3,0.1875,2.5625,79.0,0.5,4.6875,81.0,48.0,4.7,23.3125,5.9
Le'Veon Bell,349.0,96.84615384615384,0.6153846153846154,0.07692307692307693,3.4615384615384617,5.076923076923077,18.76923076923077,21.0,66.15384615384616,30.692307692307693,8.9,0.0,1.1538461538461537,68.2,0.6153846153846154,4.076923076923077,43.0,43.0,3.5,22.23076923076923,4.4,96.84615384615384,0.6153846153846154,0.07692307692307693,3.4615384615384617,5.076923076923077,18.76923076923077,21,66.15384615384616,30.692307692307693,8.9,0.0,1.1538461538461537,68.2,0.6153846153846154,4.076923076923077,43.0,43.0,3.5,22.23076923076923,4.4
Robert Woods,221.1,47.333333333333336,0.2463768115942029,0.057971014492753624,3.753623188405797,6.231884057971015,0.08695652173913043,23.0,0.4927536231884058,46.84057971014493,12.620000000000001,0.2463768115942029,2.289855072463768,60.279999999999994,0.0,0.028985507246376812,5.4,51.8,4.0,3.8405797101449277,12.459999999999999,66.08333333333333,0.4166666666666667,0.08333333333333333,4.666666666666667,7.083333333333333,0.16666666666666666,25,1.0,65.08333333333333,13.9,0.4166666666666667,3.0,65.9,0.0,0.0,8.0,94.0,6.0,4.833333333333333,13.7
Robert Woods,125.3,43.3859649122807,0.21052631578947367,0.05263157894736842,3.56140350877193,6.052631578947368,0.07017543859649122,22.5,0.38596491228070173,43.0,12.3,0.21052631578947367,2.1403508771929824,58.87499999999999,0.0,0.03508771929824561,4.75,41.25,3.5,3.6315789473684212,12.15,47.61538461538461,0.07692307692307693,0.0,3.923076923076923,5.846153846153846,0.07692307692307693,24,0.46153846153846156,47.15384615384615,12.0,0.07692307692307693,2.6153846153846154,67.1,0.0,0.07692307692307693,6.0,34.0,6.0,4.0,11.9
Robert Woods,85.4,42.13636363636363,0.25,0.06818181818181818,3.4545454545454546,6.113636363636363,0.06818181818181818,22.0,0.36363636363636365,41.77272727272727,12.4,0.25,2.0,56.133333333333326,0.0,0.022727272727272728,4.333333333333333,43.666666666666664,2.6666666666666665,3.522727272727273,12.233333333333334,39.42857142857143,0.21428571428571427,0.14285714285714285,3.357142857142857,5.714285714285714,0.07142857142857142,23,0.0,39.42857142857143,11.7,0.21428571428571427,1.9285714285714286,58.8,0.0,0.0,0.0,37.0,0.0,3.4285714285714284,11.5
Robert Woods,82.7,43.4,0.26666666666666666,0.03333333333333333,3.5,6.3,0.06666666666666667,21.5,0.5333333333333333,42.86666666666667,12.75,0.26666666666666666,2.033333333333333,54.8,0.0,0.03333333333333333,6.5,47.0,4.0,3.566666666666667,12.600000000000001,43.6875,0.3125,0.0625,4.0625,6.5,0.0,22,0.0,43.6875,10.8,0.3125,2.1875,62.5,0.0,0.0,0,37.0,0,4.0625,10.8
Robert Woods,115.4,43.07142857142857,0.21428571428571427,0.0,2.857142857142857,6.071428571428571,0.14285714285714285,21.0,1.1428571428571428,41.92857142857143,14.7,0.21428571428571427,1.8571428571428572,47.1,0.0,0.07142857142857142,13.0,57.0,8.0,3.0,14.4,43.07142857142857,0.21428571428571427,0.0,2.857142857142857,6.071428571428571,0.14285714285714285,21,1.1428571428571428,41.92857142857143,14.7,0.21428571428571427,1.8571428571428572,47.1,0.0,0.07142857142857142,13.0,57.0,8.0,3.0,14.4
Travis Kelce,227.1,60.96875,0.34375,0.09375,4.796875,6.703125,0.046875,26.0,0.03125,60.9375,10.16,0.34375,3.03125,57.5,0.0,0.03125,-0.2,40.0,-0.3,4.84375,10.080000000000002,69.66666666666667,0.5333333333333333,0.0,5.533333333333333,8.133333333333333,0.13333333333333333,28,0.4666666666666667,69.2,12.5,0.5333333333333333,3.533333333333333,68.0,0.0,0.13333333333333333,4.0,44.0,3.5,5.666666666666667,12.3
Travis Kelce,180.0,58.30612244897959,0.2857142857142857,0.12244897959183673,4.571428571428571,6.26530612244898,0.02040816326530612,25.5,-0.10204081632653061,58.40816326530612,9.575,0.2857142857142857,2.877551020408163,54.875,0.0,0.0,-1.25,39.0,-1.25,4.591836734693878,9.525,70.0,0.25,0.0,5.3125,7.3125,0.0625,27,-0.3125,70.3125,13.2,0.25,3.4375,72.6,0.0,0.0,-5.0,80.0,-5.0,5.375,13.0
