"Rank","Tier","WSIS","Flex Position (RB/WR/TE)","Team","Pos","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"208","undefined","","Damiere Byrd","ARI","WR106","vs. CLE","205","211","207.0","2.1","0"
"209","undefined","","Tavon Austin","DAL","WR107","vs. LAR","206","217","208.6","4.2","0"
"210","undefined","","Qadree Ollison","ATL","RB68","at SF","180","250","222.2","18.0","3.3"
"211","undefined","","Deon Cain","PIT","WR108","vs. BUF","202","233","210.6","11.5","0"
"212","undefined","","Malik Turner","SEA","WR109","at CAR","200","228","211.2","9.6","0"
"213","undefined","","Spencer Ware","KC","RB69","vs. DEN","175","273","226.0","21.4","4.2"
"214","undefined","","Jordan Wilkins","IND","RB70","at NO","183","231","214.2","8.8","4.2"
"215","undefined","","Darrell Henderson","LAR","RB71","at DAL","220","240","226.2","7.4","2.7"
"216","undefined","","CJ Ham","MIN","RB72","at LAC","218","241","226.3","9.2","2.9"
"217","undefined","","Ameer Abdullah","MIN","RB73","at LAC","217","264","228.3","16.8","2.5"
"218","undefined","","JuJu Smith-Schuster","PIT","WR110","vs. BUF","58","169","113.5","55.5","0"
"219","undefined","","Ryquell Armstead","JAC","RB74","at OAK","171","234","217.4","8.8","4.1"
"220","undefined","","Brandon Bolden","NE","RB75","at CIN","181","257","229.5","16.6","2.4"
"221","undefined","","Justice Hill","BAL","RB76","vs. NYJ","208","227","219.4","4.2","3.3"
"222","undefined","","Keelan Doss","OAK","WR111","vs. JAC","213","234","220.0","8.9","0"
"223","undefined","","James Conner","PIT","RB77","vs. BUF","34","216","125.0","91.0","2.2"
"224","undefined","","Kyle Juszczyk","SF","RB78","vs. ATL","223","237","226.6","5.3","2.1"
"225","undefined","","Wayne Gallman","NYG","RB79","vs. MIA","222","292","238.5","24.8","1.9"
"226","undefined","","Kenjon Barner","ATL","RB80","at SF","220","279","238.3","22.8","1.6"
"227","undefined","","Kerrith Whyte","PIT","RB81","vs. BUF","225","296","240.2","25.4","1.9"
"228","undefined","","Reggie Bonnafon","CAR","RB82","vs. SEA","224","276","238.8","19.6","1.6"
"229","undefined","","D.J. Chark","JAC","WR112","at OAK","130","171","150.5","20.5","0"
"230","undefined","","Josh Hill","NO","TE36","vs. IND","130","172","151.0","21.0","4.7"
"231","undefined","","Jamize Olawale","DAL","RB83","vs. LAR","227","286","241.0","21.9","1.5"
"232","undefined","","Nick Boyle","BAL","TE37","vs. NYJ","132","185","158.5","26.5","4.6"
"233","undefined","","Elijhaa Penny","NYG","RB84","vs. MIA","229","274","243.5","18.3","1.5"
"234","undefined","","Will Fuller","HOU","WR113","at TEN","140","179","159.5","19.5","0"
"235","undefined","","Dan Vitale","GB","RB85","vs. CHI","230","252","235.6","8.3","1.5"
"236","undefined","","Alex Armah","CAR","RB86","vs. SEA","230","278","245.3","21.1","1.3"
"237","undefined","","Taylor Gabriel","CHI","WR114","at GB","131","198","164.5","33.5","0"
"238","undefined","","Justin Jackson","LAC","RB87","vs. MIN","236","283","245.8","16.8","1.4"
"239","undefined","","Jordan Howard","PHI","RB88","at WAS","224","228","227.0","1.7","1.2"
"240","undefined","","Zach Zenner","MIA","RB89","at NYG","234","280","248.3","18.5","1.3"
"241","undefined","","Patrick DiMarco","BUF","RB90","at PIT","229","271","241.0","15.3","1.3"
"242","undefined","","Devontae Booker","DEN","RB91","at KC","232","287","248.8","22.7","1.2"
"243","undefined","","Dontrell Hilliard","CLE","RB92","at ARI","237","280","250.8","19.6","1.2"
"244","undefined","","Trey Edmunds","PIT","RB93","vs. BUF","235","297","254.0","23.8","1.1"
"245","undefined","","Josh Adams","NYJ","RB94","at BAL","234","282","245.6","18.4","1.1"
"246","undefined","","Alec Ingold","OAK","RB95","vs. JAC","236","275","246.4","14.4","1.1"
"247","undefined","","Derek Watt","LAC","RB96","vs. MIN","241","272","247.6","12.2","1.0"
"248","undefined","","Jeremy Sprinkle","WAS","TE38","vs. PHI","190","194","192.0","2.0","4.5"
"249","undefined","","Mike Boone","MIN","RB97","at LAC","242","293","257.5","21.2","0.9"
"250","undefined","","Javorius Allen","NYG","RB98","vs. MIA","243","291","258.0","21.0","0.9"
"251","undefined","","Josh Jacobs","OAK","RB99","vs. JAC","179","221","200.0","21.0","0.9"
"252","undefined","","C.J. Prosise","SEA","RB100","at CAR","178","232","205.0","27.0","0.9"
"253","undefined","","C.J. Uzomah","CIN","TE39","vs. NE","198","215","206.5","8.5","4.4"
"254","undefined","","Charles Clay","ARI","TE40","vs. CLE","201","213","207.0","6.0","4.3"
"255","undefined","","Jesse James","DET","TE41","vs. TB","208","208","208.0","0.0","4.0"
"256","undefined","","Cordarrelle Patterson","CHI","WR115","at GB","205","213","209.0","4.0","0"
"257","undefined","","Ricky Seals-Jones","CLE","TE42","at ARI","204","219","211.5","7.5","3.9"
"258","undefined","","Keith Smith","ATL","RB101","at SF","239","279","249.0","17.3","1.0"
"259","undefined","","Matt LaCosse","NE","TE43","at CIN","186","246","216.0","30.0","3.8"
"260","undefined","","Jesper Horsted","CHI","TE44","at GB","216","219","217.5","1.5","3.7"
"261","undefined","","Nick Vannett","PIT","TE45","vs. BUF","195","243","219.0","24.0","3.7"
"262","undefined","","Khadarel Hodge","CLE","WR116","at ARI","217","221","219.0","2.0","0"
"263","undefined","","Ryan Izzo","NE","TE46","at CIN","222","222","222.0","0.0","3.4"
"264","undefined","","Ryan Nall","CHI","RB102","at GB","244","285","254.3","17.8","0.9"
"265","undefined","","Jeff Heuerman","DEN","TE47","at KC","207","241","224.0","17.0","3.2"
"266","undefined","","Daniel Brown","NYJ","TE48","at BAL","184","268","226.0","42.0","2.9"
"267","undefined","","Robert Tonyan","GB","TE49","vs. CHI","221","236","228.5","7.5","2.9"
"268","undefined","","Braxton Berrios","NYJ","WR117","at BAL","213","245","229.0","16.0","0"
"269","undefined","","Derek Carrier","OAK","TE50","vs. JAC","199","263","231.0","32.0","2.5"
"270","undefined","","Jaeden Graham","ATL","TE51","at SF","212","251","231.5","19.5","2.5"
"271","undefined","","Maxx Williams","ARI","TE52","vs. CLE","216","256","236.0","20.0","2.3"
"272","undefined","","Tyler Kroft","BUF","TE53","at PIT","228","249","238.5","10.5","2.2"
"273","undefined","","J.P. Holtz","CHI","TE54","at GB","235","243","239.0","4.0","2.1"
"274","undefined","","Mo Alie-Cox","IND","TE55","at NO","239","240","239.5","0.5","2.1"
"275","undefined","","MyCole Pruitt","TEN","TE56","vs. HOU","224","258","241.0","17.0","2.1"
"276","undefined","","Vyncint Smith","NYJ","WR118","at BAL","231","253","242.0","11.0","0"
"277","undefined","","Tanner Hudson","TB","TE57","at DET","236","252","244.0","8.0","2.1"
"278","undefined","","Jace Sternberger","GB","TE58","vs. CHI","244","247","245.5","1.5","2.0"
"279","undefined","","Jordan Thomas","HOU","TE59","at TEN","223","284","253.5","30.5","2.0"
"280","undefined","","Tevin Jones","PIT","WR119","vs. BUF","230","298","264.0","34.0","0"
"281","undefined","","Blake Bell","KC","TE60","vs. DEN","255","262","258.5","3.5","1.9"
"282","undefined","","Olamide Zaccheaus","ATL","RB103","at SF","232","303","267.5","35.5","0"
"283","undefined","","Ben Koyack","JAC","TE61","at OAK","257","265","261.0","4.0","1.8"
"284","undefined","","Virgil Green","LAC","TE62","vs. MIN","249","277","263.0","14.0","1.8"
"285","undefined","","Ross Dwelley","SF","TE63","vs. ATL","250","278","264.0","14.0","1.7"
"286","undefined","","Trevon Wesco","NYJ","TE64","at BAL","263","269","266.0","3.0","1.6"
"287","undefined","","Luke Stocker","ATL","TE65","at SF","253","285","269.0","16.0","1.3"
"288","undefined","","Scott Simonson","NYG","TE66","vs. MIA","259","288","273.5","14.5","1.3"
"289","undefined","","Lee Smith","BUF","TE67","at PIT","266","289","277.5","11.5","1.1"
""
""
