Qadree Ollison,0.6,23,5,0,2,1,7,7,0,7,0.2,1.4,50.00%,3.5,16,37,2,6,2.3,7.4,3.2,17,2.6,44,2,1,22.62,120.85,5.34,1.62,5.38,4.00,25.38,6.35,0.23,0.08
Mark Ingram,10.9,30,13,13,25,23,201,8.7,3,25,1.8,15.5,92.00%,8,181,887,9,53,4.9,68.2,13.9,204,5.3,1088,12,2,19.77,90.08,4.56,0.62,7.31,5.23,39.62,7.57,0.15,0.08
Mark Andrews,2.4,23,13,4,82,54,707,13.1,7,51,4.2,54.4,65.90%,8.6,0,0,0,0,0,0,0,54,13.1,707,7,2,0.00,0.00,0.00,0.00,5.23,3.62,36.62,10.13,0.31,0.00
Nick Boyle,9,26,13,12,37,27,291,10.8,2,35,2.1,22.4,73.00%,7.9,0,0,0,0,0,0,0,27,10.8,291,2,0,0.00,0.00,0.00,0.00,5.23,3.62,36.62,10.13,0.31,0.00
Hayden Hurst,16.3,26,13,3,32,26,286,11,2,61,2,22,81.30%,8.9,0,0,0,0,0,0,0,26,11,286,2,0,0.00,0.00,0.00,0.00,5.23,3.62,36.62,10.13,0.31,0.00
Marquise Brown,2.8,22,11,8,63,39,518,13.3,6,83,3.5,47.1,61.90%,8.2,0,0,0,0,0,0,0,39,13.3,518,6,0,0.46,3.62,7.83,0.08,20.69,12.38,135.23,10.92,0.46,0.38
Willie Snead,10.3,27,13,8,39,27,302,11.2,5,50,2.1,23.2,69.20%,7.7,1,2,0,2,2,0.2,0.1,28,10.9,304,5,0,0.46,3.62,7.83,0.08,20.69,12.38,135.23,10.92,0.46,0.38
Miles Boykin,0,23,13,10,18,11,185,16.8,2,50,0.8,14.2,61.10%,10.3,0,0,0,0,0,0,0,11,16.8,185,2,0,0.46,3.62,7.83,0.08,20.69,12.38,135.23,10.92,0.46,0.38
Chris Moore,0,26,11,1,5,3,21,7,0,13,0.3,1.9,60.00%,4.2,0,0,0,0,0,0,0,3,7,21,0,0,0.46,3.62,7.83,0.08,20.69,12.38,135.23,10.92,0.46,0.38
Gus Edwards,2,24,13,0,5,5,36,7.2,0,10,0.4,2.8,100.00%,7.2,95,480,2,63,5.1,36.9,7.3,100,5.2,516,2,0,19.77,90.08,4.56,0.62,7.31,5.23,39.62,7.57,0.15,0.08
Seth Roberts,1.8,28,13,0,28,16,182,11.4,1,25,1.2,14,57.10%,6.5,0,0,0,0,0,0,0,16,11.4,182,1,0,0.46,3.62,7.83,0.08,20.69,12.38,135.23,10.92,0.46,0.38
Justice Hill,0.8,22,13,0,9,4,28,7,0,10,0.3,2.2,44.40%,3.1,41,152,0,13,3.7,11.7,3.2,45,4,180,0,0,19.77,90.08,4.56,0.62,7.31,5.23,39.62,7.57,0.15,0.08
Patrick DiMarco,0,30,13,2,6,5,41,8.2,0,27,0.4,3.2,83.30%,6.8,3,7,0,4,2.3,0.5,0.2,8,6,48,0,0,18.08,82.46,4.56,0.77,5.08,3.92,30.38,7.75,0.08,0.08
Devin Singletary,17.8,22,10,6,37,26,190,7.3,2,49,2.6,19,70.30%,5.1,115,642,2,38,5.6,64.2,11.5,141,5.9,832,4,2,18.08,82.46,4.56,0.77,5.08,3.92,30.38,7.75,0.08,0.08
Frank Gore,0.6,36,13,7,12,10,84,8.4,0,18,0.8,6.5,83.30%,7,150,558,2,41,3.7,42.9,11.5,160,4,642,2,0,18.08,82.46,4.56,0.77,5.08,3.92,30.38,7.75,0.08,0.08
Dawson Knox,4.7,23,13,9,45,26,344,13.2,2,49,2,26.5,57.80%,7.6,1,9,0,9,9,0.7,0.1,27,13.1,353,2,0,0.08,-0.23,-3.00,0.00,5.46,3.54,40.08,11.33,0.15,0.00
Tyler Kroft,0,27,8,2,8,4,52,13,0,20,0.5,6.5,50.00%,6.5,0,0,0,0,0,0,0,4,13,52,0,0,0.08,-0.23,-3.00,0.00,5.46,3.54,40.08,11.33,0.15,0.00
Lee Smith,0,32,13,5,5,4,31,7.8,1,9,0.3,2.4,80.00%,6.2,0,0,0,0,0,0,0,4,7.8,31,1,0,0.08,-0.23,-3.00,0.00,5.46,3.54,40.08,11.33,0.15,0.00
John Brown,5.6,29,13,13,101,64,908,14.2,5,40,4.9,69.8,63.40%,9,1,4,0,4,4,0.3,0.1,65,14,912,5,0,0.54,4.31,8.00,0.00,22.77,13.38,166.31,12.43,0.62,0.31
Cole Beasley,14.9,30,13,9,88,59,664,11.3,6,51,4.5,51.1,67.00%,7.5,0,0,0,0,0,0,0,59,11.3,664,6,0,0.54,4.31,8.00,0.00,22.77,13.38,166.31,12.43,0.62,0.31
Isaiah McKenzie,5.5,24,12,6,32,23,236,10.3,1,46,1.9,19.7,71.90%,7.4,6,19,0,10,3.2,1.6,0.5,29,8.8,255,1,0,0.54,4.31,8.00,0.00,22.77,13.38,166.31,12.43,0.62,0.31
Robert Foster,0,25,10,1,13,3,64,21.3,0,24,0.3,6.4,23.10%,4.9,2,29,0,22,14.5,2.9,0.2,5,18.6,93,0,0,0.54,4.31,8.00,0.00,22.77,13.38,166.31,12.43,0.62,0.31
Andre Roberts,0,31,11,0,5,2,13,6.5,0,7,0.2,1.2,40.00%,2.6,1,7,0,7,7,0.6,0.1,3,6.7,20,0,1,0.54,4.31,8.00,0.00,22.77,13.38,166.31,12.43,0.62,0.31
Alex Armah,0,25,13,1,2,2,6,3,0,4,0.2,0.5,100.00%,3,6,11,1,4,1.8,0.8,0.5,8,2.1,17,1,0,21.85,87.92,4.02,0.54,7.23,5.54,40.38,7.29,0.23,0.08
Christian McCaffrey,24.5,23,13,13,107,86,726,8.4,4,25,6.6,55.8,80.40%,6.8,246,1220,12,84,5,93.8,18.9,332,5.9,1946,16,1,21.85,87.92,4.02,0.54,7.23,5.54,40.38,7.29,0.23,0.08
Ian Thomas,16.7,23,13,2,19,10,85,8.5,1,19,0.8,6.5,52.60%,4.5,0,0,0,0,0,0,0,10,8.5,85,1,0,0.00,0.00,0.00,0.00,7.00,4.38,50.85,11.60,0.38,0.00
D.J. Moore,12.1,22,13,13,121,78,1061,13.6,4,52,6,81.6,64.50%,8.8,5,30,0,13,6,2.3,0.4,83,13.1,1091,4,1,0.69,2.31,3.33,0.00,18.23,12.92,178.69,13.83,1.08,0.15
Curtis Samuel,6.2,23,13,12,89,45,566,12.6,5,44,3.5,43.5,50.60%,6.4,13,103,1,16,7.9,7.9,1,58,11.5,669,6,0,0.69,2.31,3.33,0.00,18.23,12.92,178.69,13.83,1.08,0.15
Jarius Wright,7,30,13,7,44,24,258,10.8,0,33,1.8,19.8,54.50%,5.9,1,-7,0,-7,-7,-0.5,0.1,25,10,251,0,0,0.69,2.31,3.33,0.00,18.23,12.92,178.69,13.83,1.08,0.15
Reggie Bonnafon,0.6,23,13,0,7,4,18,4.5,0,7,0.3,1.4,57.10%,2.6,12,101,1,59,8.4,7.8,0.9,16,7.4,119,1,0,21.85,87.92,4.02,0.54,7.23,5.54,40.38,7.29,0.23,0.08
